order_id,product_id,quantity,unit_price
ORD-000001,PRD-018,3,939.0
ORD-000002,PRD-013,1,899.0
ORD-000003,PRD-042,1,1309.0
ORD-000004,PRD-026,1,1139.0
ORD-000005,PRD-006,1,439.0
ORD-000006,PRD-041,1,849.0
ORD-000006,PRD-053,1,349.0
ORD-000006,PRD-063,1,449.0
ORD-000007,PRD-079,2,1619.0
ORD-000007,PRD-019,1,679.0
ORD-000007,PRD-046,1,1109.0
ORD-000008,PRD-053,1,349.0
ORD-000009,PRD-017,1,669.0
ORD-000010,PRD-086,2,239.0
ORD-000010,PRD-013,2,899.0
ORD-000010,PRD-063,1,449.0
ORD-000011,PRD-055,1,269.0
ORD-000011,PRD-041,1,849.0
ORD-000012,PRD-073,1,1089.0
ORD-000013,PRD-068,1,629.0
ORD-000013,PRD-090,1,289.0
ORD-000014,PRD-086,2,239.0
ORD-000014,PRD-039,2,609.0
ORD-000015,PRD-005,1,419.0
ORD-000016,PRD-004,1,429.0
ORD-000016,PRD-053,2,349.0
ORD-000017,PRD-087,1,359.0
ORD-000017,PRD-093,1,229.0
ORD-000018,PRD-044,1,819.0
ORD-000018,PRD-030,1,1039.0
ORD-000018,PRD-068,1,629.0
ORD-000019,PRD-044,1,819.0
ORD-000019,PRD-047,1,679.0
ORD-000020,PRD-022,1,849.0
ORD-000021,PRD-047,1,679.0
ORD-000022,PRD-018,1,939.0
ORD-000023,PRD-022,1,849.0
ORD-000023,PRD-013,1,899.0
ORD-000024,PRD-001,1,459.0
ORD-000025,PRD-026,1,1139.0
ORD-000025,PRD-046,1,1109.0
ORD-000026,PRD-068,1,629.0
ORD-000026,PRD-072,2,699.0
ORD-000027,PRD-001,3,459.0
ORD-000027,PRD-090,1,289.0
ORD-000027,PRD-042,1,1309.0
ORD-000028,PRD-063,1,449.0
ORD-000028,PRD-090,1,289.0
ORD-000028,PRD-039,1,609.0
ORD-000029,PRD-056,1,549.0
ORD-000029,PRD-044,1,819.0
ORD-000030,PRD-079,2,1619.0
ORD-000031,PRD-035,1,1219.0
ORD-000032,PRD-072,1,699.0
ORD-000033,PRD-004,2,429.0
ORD-000033,PRD-056,2,549.0
ORD-000034,PRD-044,1,819.0
ORD-000034,PRD-079,2,1619.0
ORD-000035,PRD-072,1,699.0
ORD-000035,PRD-053,1,349.0
ORD-000036,PRD-026,1,1139.0
ORD-000036,PRD-007,1,319.0
ORD-000036,PRD-090,1,289.0
ORD-000036,PRD-042,1,1309.0
ORD-000037,PRD-077,1,2129.0
ORD-000037,PRD-040,1,1239.0
ORD-000038,PRD-053,3,349.0
ORD-000038,PRD-011,2,339.0
ORD-000038,PRD-006,1,439.0
ORD-000038,PRD-041,1,849.0
ORD-000039,PRD-011,1,339.0
ORD-000040,PRD-079,1,1619.0
ORD-000041,PRD-024,1,979.0
ORD-000042,PRD-052,1,329.0
ORD-000043,PRD-056,1,549.0
ORD-000043,PRD-089,2,199.0
ORD-000044,PRD-044,1,819.0
ORD-000045,PRD-089,1,199.0
ORD-000046,PRD-044,1,819.0
ORD-000047,PRD-041,1,849.0
ORD-000048,PRD-093,1,229.0
ORD-000048,PRD-024,1,979.0
ORD-000049,PRD-044,2,819.0
ORD-000050,PRD-079,1,1619.0
ORD-000051,PRD-026,1,1139.0
ORD-000051,PRD-044,1,819.0
ORD-000051,PRD-086,1,239.0
ORD-000052,PRD-006,1,439.0
ORD-000052,PRD-049,1,449.0
ORD-000053,PRD-013,3,899.0
ORD-000053,PRD-063,1,449.0
ORD-000054,PRD-041,2,849.0
ORD-000055,PRD-086,2,239.0
ORD-000055,PRD-084,3,1229.0
ORD-000056,PRD-053,1,349.0
ORD-000057,PRD-068,1,629.0
ORD-000057,PRD-040,1,1239.0
ORD-000058,PRD-018,1,939.0
ORD-000058,PRD-093,1,229.0
ORD-000059,PRD-026,1,1139.0
ORD-000060,PRD-004,2,429.0
ORD-000061,PRD-046,1,1109.0
ORD-000061,PRD-086,3,239.0
ORD-000062,PRD-026,1,1139.0
ORD-000063,PRD-007,1,319.0
ORD-000064,PRD-026,3,1139.0
ORD-000064,PRD-044,3,819.0
ORD-000065,PRD-072,1,699.0
ORD-000066,PRD-045,1,709.0
ORD-000067,PRD-075,1,2439.0
ORD-000068,PRD-042,1,1309.0
ORD-000069,PRD-022,1,849.0
ORD-000070,PRD-026,2,1139.0
ORD-000071,PRD-026,1,1139.0
ORD-000071,PRD-093,1,229.0
ORD-000072,PRD-093,1,229.0
ORD-000072,PRD-063,1,449.0
ORD-000073,PRD-089,1,199.0
ORD-000074,PRD-089,1,199.0
ORD-000075,PRD-083,1,2029.0
ORD-000076,PRD-056,1,549.0
ORD-000077,PRD-018,2,939.0
ORD-000078,PRD-018,1,939.0
ORD-000079,PRD-026,1,1139.0
ORD-000079,PRD-056,1,549.0
ORD-000080,PRD-089,1,199.0
